2009-06-10|NIU|H/Body 16.00 |T/Body 0.60 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 4.2 |V/PREV 1.5 |O 2.0 |H 2.9 |L 2.0 |C 2.1 |V 443 Thousand
2009-06-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 9.5 |CHG/ATR nan |B/CHG 2.25 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.0 |O 2.8 |H 2.8 |L 2.3 |C 2.3 |V 12 Thousand
2009-06-12|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 2.2 |CHG/ATR nan |B/CHG 1.20 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 13.0 |O 2.3 |H 2.4 |L 2.3 |C 2.4 |V 160 Thousand
2009-06-15|NIU|H/Body 0.50 |T/Body 0.00 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.3 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 42 Thousand
2009-06-16|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 300
2009-06-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -0.8 |CHG/ATR nan |B/CHG -7.00 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 44.3 |O 2.5 |H 2.5 |L 2.4 |C 2.4 |V 13 Thousand
2009-06-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 10.2 |CHG/ATR nan |B/CHG 1.21 |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.9 |H 2.9 |L 2.6 |C 2.6 |V 600
2009-06-19|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
2009-06-22|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
2009-06-23|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.20 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV inf |O 2.5 |H 2.5 |L 2.5 |C 2.5 |V 1 Thousand
2009-06-24|NIU|H/Body 0.00 |T/Body 0.50 |CHG_PCT 11.8 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 1.3 |O 2.5 |H 2.9 |L 2.4 |C 2.9 |V 1 Thousand
2009-06-25|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.4 |O 2.8 |H 2.9 |L 2.8 |C 2.9 |V 500
2009-06-26|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -15.8 |CHG/ATR nan |B/CHG -0.02 |B/ATR nan |V/LONG nan |V/SHORT 45.2 |V/PREV 50.6 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 25 Thousand
2009-06-29|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.4 |H 2.4 |L 2.4 |C 2.4 |V 0
2009-06-30|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 0.20 |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV inf |O 2.5 |H 2.5 |L 2.5 |C 2.5 |V 200
2009-07-01|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 6.1 |CHG/ATR nan |B/CHG 0.07 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 5.0 |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 1 Thousand
2009-07-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
2009-07-06|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
2009-07-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 2.6 |H 2.6 |L 2.6 |C 2.6 |V 0
2009-07-08|RED|H/Body 1.00 |T/Body 0.00 |CHG_PCT -5.8 |CHG/ATR nan |B/CHG -0.33 |B/ATR nan |V/LONG nan |V/SHORT 43.8 |V/PREV inf |O 2.5 |H 2.5 |L 2.5 |C 2.5 |V 10 Thousand
