2013-01-07 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-08 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-09 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-10 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-11 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-14 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-15 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-16 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-17 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-18 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2013-01-22 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-23 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-24 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-25 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-28 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-29 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2013-01-30 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-01-31 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-02-01 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-02-04 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-02-05 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-02-06 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-02-07 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-02-08 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-02-11 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-02-12 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-02-13 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-02-14 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-02-15 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-02-19 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-02-20 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-02-21 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-02-22 | Bull | 0.84 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
