2013-02-08 | Bull | 39.08 / 0.1% | HEAD 425% | TAIL 488% | B/ATR nan
2013-02-11 | Bear | 39.17 / -0.1% | HEAD 1540% | TAIL 1200% | B/ATR nan
2013-02-12 | Bull | 39.53 / 0.5% | HEAD 133% | TAIL 50% | B/ATR nan
2013-02-13 | Bear | 39.44 / -0.7% | HEAD 86% | TAIL 21% | B/ATR nan
2013-02-14 | Bear | 38.84 / -1.1% | HEAD 31% | TAIL 64% | B/ATR nan
2013-02-15 | Bear | 38.34 / -2.1% | HEAD 0% | TAIL 31% | B/ATR nan
2013-02-19 | Bull | 38.83 / 0.9% | HEAD 143% | TAIL 46% | B/ATR nan
2013-02-20 | Bear | 38.06 / -2.6% | HEAD 16% | TAIL 5% | B/ATR nan
2013-02-21 | Bear | 36.78 / -3.5% | HEAD 4% | TAIL 34% | B/ATR nan
2013-02-22 | Bull | 37.01 / 0.4% | HEAD 114% | TAIL 377% | B/ATR nan
2013-02-25 | Bear | 35.65 / -3.5% | HEAD 0% | TAIL 33% | B/ATR nan
2013-02-26 | Bull | 36.21 / 1.4% | HEAD 148% | TAIL 22% | B/ATR nan
2013-02-27 | Bull | 36.45 / 0.8% | HEAD 24% | TAIL 90% | B/ATR nan
2013-02-28 | Bull | 38.61 / 6.0% | HEAD 3% | TAIL 7% | B/ATR nan
2013-03-01 | Bear | 37.56 / -1.9% | HEAD 0% | TAIL 119% | B/ATR nan
2013-03-04 | Bull | 39.44 / 5.5% | HEAD 2% | TAIL 5% | B/ATR nan
2013-03-05 | Bull | 39.55 / 0.3% | HEAD 300% | TAIL 818% | B/ATR nan
2013-03-06 | Bull | 39.58 / 0.2% | HEAD 378% | TAIL 1060% | B/ATR nan
2013-03-07 | Bull | 39.55 / 0.1% | HEAD 360% | TAIL 440% | B/ATR nan
2013-03-08 | Bear | 38.57 / -3.6% | HEAD 31% | TAIL 29% | B/ATR nan
2013-03-11 | Bull | 38.75 / 0.4% | HEAD 253% | TAIL 347% | B/ATR nan
2013-03-12 | Bear | 38.31 / -1.6% | HEAD 0% | TAIL 11% | B/ATR nan
2013-03-13 | Bear | 37.85 / -1.2% | HEAD 38% | TAIL 220% | B/ATR nan
2013-03-14 | Bull | 38.3 / 0.8% | HEAD 58% | TAIL 65% | B/ATR nan
2013-03-15 | Bear | 37.0 / -6.4% | HEAD 0% | TAIL 15% | B/ATR nan
2013-03-18 | Bear | 36.66 / -0.8% | HEAD 0% | TAIL 157% | B/ATR nan
2013-03-19 | Bear | 35.79 / -3.8% | HEAD 11% | TAIL 8% | B/ATR nan
2013-03-20 | Bear | 34.75 / -2.9% | HEAD 42% | TAIL 30% | B/ATR nan
2013-03-21 | Bull | 34.92 / 1.0% | HEAD 70% | TAIL 62% | B/ATR nan
2013-03-22 | Bull | 34.96 / 0.6% | HEAD 107% | TAIL 180% | B/ATR nan
2013-03-25 | Bull | 35.1 / 0.5% | HEAD 611% | TAIL 226% | B/ATR nan
2013-03-26 | Bull | 35.53 / 1.0% | HEAD 103% | TAIL 174% | B/ATR nan
2013-03-27 | Bear | 34.95 / -1.0% | HEAD 39% | TAIL 47% | B/ATR nan
2013-03-28 | Bear | 35.0 / -0.4% | HEAD 385% | TAIL 954% | B/ATR nan
2013-04-01 | Bear | 35.03 / -0.5% | HEAD 675% | TAIL 75% | B/ATR nan
2013-04-02 | Bull | 36.07 / 3.0% | HEAD 40% | TAIL 0% | B/ATR nan
2013-04-03 | Bear | 34.45 / -3.9% | HEAD 23% | TAIL 41% | B/ATR nan
2013-04-04 | Bear | 34.45 / -0.3% | HEAD 350% | TAIL 818% | B/ATR nan
2013-04-05 | Bear | 33.78 / -0.9% | HEAD 178% | TAIL 147% | B/ATR nan
2013-04-08 | Bull | 34.1 / 1.7% | HEAD 66% | TAIL 93% | B/ATR nan
2013-04-09 | Bear | 34.15 / -0.2% | HEAD 213% | TAIL 369% | B/ATR nan
2013-04-10 | Bull | 34.93 / 1.5% | HEAD 164% | TAIL 66% | B/ATR nan
2013-04-11 | Bear | 34.17 / -2.4% | HEAD 28% | TAIL 12% | B/ATR nan
2013-04-12 | Bull | 34.94 / 1.6% | HEAD 27% | TAIL 77% | B/ATR nan
2013-04-15 | Bear | 34.69 / -2.6% | HEAD 0% | TAIL 20% | B/ATR nan
2013-04-16 | Bear | 34.73 / -0.5% | HEAD 300% | TAIL 179% | B/ATR nan
2013-04-17 | Bear | 34.35 / -1.2% | HEAD 0% | TAIL 212% | B/ATR nan
2013-04-18 | Bear | 32.75 / -4.5% | HEAD 45% | TAIL 47% | B/ATR nan
2013-04-19 | Bull | 38.0 / 7.3% | HEAD 129% | TAIL 0% | B/ATR nan
2013-04-22 | Bull | 38.77 / 3.1% | HEAD 16% | TAIL 40% | B/ATR nan
2013-04-23 | Bear | 38.77 / -0.4% | HEAD 0% | TAIL 419% | B/ATR nan
2013-04-24 | Bear | 38.28 / -1.2% | HEAD 0% | TAIL 46% | B/ATR nan
2013-04-25 | Bear | 38.33 / -0.1% | HEAD 1275% | TAIL 560% | B/ATR nan
2013-04-26 | Bull | 38.25 / 0.1% | HEAD 1600% | TAIL 150% | B/ATR 0.0
2013-04-29 | Bull | 38.32 / 1.4% | HEAD 32% | TAIL 177% | B/ATR 0.4
2013-04-30 | Bull | 38.95 / 2.2% | HEAD 16% | TAIL 0% | B/ATR 0.6
2013-05-01 | Bear | 38.73 / -0.4% | HEAD 195% | TAIL 336% | B/ATR 0.1
2013-05-02 | Bull | 39.0 / 0.7% | HEAD 74% | TAIL 0% | B/ATR 0.2
2013-05-03 | Bear | 38.79 / -0.5% | HEAD 99% | TAIL 225% | B/ATR 0.1
2013-05-06 | Bull | 39.6 / 2.5% | HEAD 1% | TAIL 0% | B/ATR 0.7
2013-05-07 | Bear | 39.55 / -0.5% | HEAD 29% | TAIL 67% | B/ATR 0.2
2013-05-08 | Bear | 39.62 / -0.1% | HEAD 3330% | TAIL 850% | B/ATR 0.0
2013-05-09 | Bull | 40.25 / 1.9% | HEAD 4% | TAIL 0% | B/ATR 0.6
2013-05-10 | Bull | 47.87 / 18.6% | HEAD 61% | TAIL 0% | B/ATR 5.6
2013-05-13 | Bull | 51.13 / 8.8% | HEAD 16% | TAIL 0% | B/ATR 3.1
2013-05-14 | Bull | 52.45 / 2.1% | HEAD 21% | TAIL 84% | B/ATR 0.8
2013-05-15 | Bull | 53.05 / 1.8% | HEAD 92% | TAIL 32% | B/ATR 0.7
2013-05-16 | Bear | 52.0 / -1.6% | HEAD 93% | TAIL 215% | B/ATR 0.6
2013-05-17 | Bull | 54.15 / 3.5% | HEAD 15% | TAIL 17% | B/ATR 1.3
2013-05-20 | Bull | 55.95 / 3.8% | HEAD 68% | TAIL 0% | B/ATR 1.5
2013-05-21 | Bear | 55.35 / -1.1% | HEAD 42% | TAIL 276% | B/ATR 0.4
2013-05-22 | Bear | 53.62 / -3.0% | HEAD 43% | TAIL 26% | B/ATR 1.2
2013-05-23 | Bull | 54.68 / 5.2% | HEAD 9% | TAIL 1% | B/ATR 1.9
2013-05-24 | Bull | 54.75 / 1.0% | HEAD 78% | TAIL 167% | B/ATR 0.4
2013-05-28 | Bear | 53.87 / -1.9% | HEAD 37% | TAIL 63% | B/ATR 0.7
2013-05-29 | Bear | 52.96 / -1.4% | HEAD 39% | TAIL 77% | B/ATR 0.5
2013-05-30 | Bull | 55.32 / 4.2% | HEAD 7% | TAIL 18% | B/ATR 1.5
