2016-04-26 | Bull | 3.06 / 8.9% | HEAD 4% | TAIL 4% | B/ATR 3.3
2016-05-10 | Bull | 3.1071 / 14.2% | HEAD 9% | TAIL 0% | B/ATR 4.0
2016-05-11 | Bull | 3.12 / 16.0% | HEAD 7% | TAIL 0% | B/ATR 4.4
2016-05-13 | Bull | 3.2 / 6.3% | HEAD 0% | TAIL 5% | B/ATR 1.8
2016-05-17 | Bull | 4.43 / 18.1% | HEAD 0% | TAIL 0% | B/ATR 6.3
2016-05-19 | Bull | 3.97 / 16.8% | HEAD 12% | TAIL 2% | B/ATR 4.8
2016-12-21 | Bull | 3.8 / 14.1% | HEAD 0% | TAIL 0% | B/ATR 1.7
2017-03-29 | Bull | 4.0131 / 14.8% | HEAD 17% | TAIL 0% | B/ATR 1.9
2017-09-28 | Bull | 4.98 / 8.9% | HEAD 5% | TAIL 0% | B/ATR 1.9
2017-11-15 | Bull | 7.93 / 11.7% | HEAD 10% | TAIL 10% | B/ATR 1.8
2017-11-24 | Bull | 23.6 / 27.9% | HEAD 8% | TAIL 1% | B/ATR 9.7
