2012-06-29 | Bull | 1362.16 / 2.4% | HEAD 0% | TAIL 0% | B/ATR 1.9
2012-07-27 | Bull | 1385.97 / 1.9% | HEAD 12% | TAIL 0% | B/ATR 1.5
2012-08-03 | Bull | 1390.99 / 1.9% | HEAD 12% | TAIL 0% | B/ATR 1.5
2012-09-06 | Bull | 1432.12 / 2.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-11-19 | Bull | 1386.89 / 2.0% | HEAD 0% | TAIL 0% | B/ATR 1.8
2012-12-31 | Bull | 1426.1899 / 1.7% | HEAD 2% | TAIL 18% | B/ATR 1.6
2013-01-02 | Bull | 1462.42 / 2.5% | HEAD 0% | TAIL 0% | B/ATR 2.5
2013-04-16 | Bull | 1574.5699 / 1.4% | HEAD 4% | TAIL 0% | B/ATR 1.7
2013-06-13 | Bull | 1636.36 / 1.5% | HEAD 12% | TAIL 17% | B/ATR 1.7
2013-10-10 | Bull | 1692.5601 / 1.9% | HEAD 0% | TAIL 0% | B/ATR 2.1
2014-03-04 | Bull | 1873.91 / 1.3% | HEAD 9% | TAIL 0% | B/ATR 1.6
2014-10-21 | Bull | 1941.28 / 1.7% | HEAD 4% | TAIL 0% | B/ATR 2.0
2014-12-17 | Bull | 2012.89 / 2.0% | HEAD 10% | TAIL 0% | B/ATR 2.2
2014-12-18 | Bull | 2061.23 / 2.1% | HEAD 0% | TAIL 0% | B/ATR 2.3
2015-01-08 | Bull | 2062.1399 / 1.6% | HEAD 6% | TAIL 0% | B/ATR 1.7
2015-08-26 | Bull | 1940.51 / 3.6% | HEAD 4% | TAIL 0% | B/ATR 3.4
2015-08-27 | Bull | 1987.66 / 2.3% | HEAD 4% | TAIL 0% | B/ATR 2.2
2015-09-02 | Bull | 1948.86 / 1.7% | HEAD 0% | TAIL 0% | B/ATR 1.6
2015-09-08 | Bull | 1969.41 / 2.2% | HEAD 2% | TAIL 0% | B/ATR 2.0
2015-12-04 | Bull | 2091.6899 / 2.0% | HEAD 5% | TAIL 0% | B/ATR 1.6
2016-01-29 | Bull | 1940.24 / 2.4% | HEAD 0% | TAIL 0% | B/ATR 1.7
2016-09-12 | Bull | 2159.04 / 1.8% | HEAD 11% | TAIL 5% | B/ATR 2.0
2016-11-07 | Bull | 2131.52 / 1.5% | HEAD 2% | TAIL 0% | B/ATR 1.6
2016-12-07 | Bull | 2241.3501 / 1.4% | HEAD 1% | TAIL 6% | B/ATR 1.7
2017-11-28 | Bull | 2627.04 / 0.8% | HEAD 3% | TAIL 2% | B/ATR 1.6
2018-01-22 | Bull | 2832.97 / 0.8% | HEAD 0% | TAIL 4% | B/ATR 1.7
2018-01-26 | Bull | 2872.8701 / 0.9% | HEAD 0% | TAIL 5% | B/ATR 1.8
2018-02-14 | Bull | 2698.6299 / 1.8% | HEAD 7% | TAIL 5% | B/ATR 2.7
2018-02-23 | Bull | 2747.3 / 1.2% | HEAD 1% | TAIL 7% | B/ATR 1.6
2018-03-05 | Bull | 2720.9399 / 1.5% | HEAD 18% | TAIL 13% | B/ATR 1.9
2018-04-04 | Bull | 2644.6899 / 2.3% | HEAD 9% | TAIL 17% | B/ATR 2.2
