2013-06-26|RED|H/Body 0.23 |T/Body 0.46 |CHG_PCT -1.2 |CHG/ATR nan |B/CHG -2.17 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.9 |O 15.1 |H 15.2 |L 14.6 |C 14.7 |V 94 Thousand
2013-06-27|NIU|H/Body 0.12 |T/Body 0.00 |CHG_PCT 3.9 |CHG/ATR nan |B/CHG 0.72 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.4 |O 14.9 |H 15.4 |L 14.9 |C 15.3 |V 136 Thousand
2013-06-28|NIU|H/Body 1.43 |T/Body 0.77 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 0.73 |B/ATR nan |V/LONG nan |V/SHORT 6.0 |V/PREV 5.5 |O 15.4 |H 16.2 |L 15.2 |C 15.7 |V 746 Thousand
2013-07-01|NIU|H/Body 0.69 |T/Body 0.49 |CHG_PCT 3.1 |CHG/ATR nan |B/CHG 0.71 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.1 |O 15.9 |H 16.5 |L 15.7 |C 16.2 |V 64 Thousand
2013-07-02|RED|H/Body 2.50 |T/Body 1.00 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -0.71 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 1.2 |O 16.2 |H 16.5 |L 15.9 |C 16.1 |V 75 Thousand
2013-07-03|NIU|H/Body 0.67 |T/Body 0.44 |CHG_PCT -0.1 |CHG/ATR nan |B/CHG -4.50 |B/ATR nan |V/LONG nan |V/SHORT 0.1 |V/PREV 0.3 |O 15.9 |H 16.1 |L 15.9 |C 16.0 |V 23 Thousand
2013-07-05|RED|H/Body 0.00 |T/Body 0.92 |CHG_PCT -2.6 |CHG/ATR nan |B/CHG -1.17 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 4.1 |O 16.1 |H 16.1 |L 15.2 |C 15.6 |V 93 Thousand
2013-07-08|NIU|H/Body 0.67 |T/Body 0.83 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 0.55 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.3 |O 15.7 |H 15.9 |L 15.6 |C 15.8 |V 31 Thousand
2013-07-09|NIU|H/Body 0.23 |T/Body 0.20 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.96 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.9 |O 15.8 |H 16.4 |L 15.8 |C 16.3 |V 27 Thousand
2013-07-10|NIU|H/Body 0.27 |T/Body 0.35 |CHG_PCT 2.7 |CHG/ATR nan |B/CHG 0.84 |B/ATR nan |V/LONG nan |V/SHORT 1.9 |V/PREV 3.5 |O 16.4 |H 16.8 |L 16.2 |C 16.7 |V 94 Thousand
2013-07-11|NIU|H/Body 0.00 |T/Body 0.04 |CHG_PCT 3.7 |CHG/ATR nan |B/CHG 0.77 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 0.8 |O 16.9 |H 17.4 |L 16.9 |C 17.4 |V 72 Thousand
2013-07-12|NIU|H/Body 0.03 |T/Body 0.67 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 1.16 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.1 |O 17.3 |H 17.7 |L 17.1 |C 17.7 |V 77 Thousand
2013-07-15|NIU|H/Body 3.30 |T/Body 0.20 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.91 |B/ATR nan |V/LONG nan |V/SHORT 3.5 |V/PREV 2.7 |O 17.7 |H 18.1 |L 17.6 |C 17.8 |V 209 Thousand
2013-07-16|RED|H/Body 0.00 |T/Body 0.70 |CHG_PCT -2.5 |CHG/ATR nan |B/CHG -0.96 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.3 |O 17.8 |H 17.8 |L 17.0 |C 17.3 |V 53 Thousand
2013-07-17|NIU|H/Body 1.10 |T/Body 1.38 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 0.92 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.4 |O 17.3 |H 17.8 |L 17.0 |C 17.6 |V 75 Thousand
2013-07-18|NIU|H/Body 10.00 |T/Body 21.00 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 0.20 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.7 |O 17.6 |H 17.7 |L 17.4 |C 17.6 |V 50 Thousand
2013-07-19|NIU|H/Body 1.48 |T/Body 0.10 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 1.75 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 2.5 |O 17.4 |H 18.5 |L 17.4 |C 17.9 |V 122 Thousand
2013-07-22|NIU|H/Body 1.03 |T/Body 0.00 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 1.04 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.2 |O 17.9 |H 18.4 |L 17.9 |C 18.1 |V 23 Thousand
2013-07-23|NIU|H/Body 2.22 |T/Body 0.80 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.90 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 1.2 |O 18.2 |H 18.4 |L 18.1 |C 18.2 |V 28 Thousand
2013-07-24|NIU|H/Body 0.58 |T/Body 1.67 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 0.44 |B/ATR nan |V/LONG nan |V/SHORT 6.5 |V/PREV 13.9 |O 18.4 |H 18.6 |L 18.2 |C 18.5 |V 387 Thousand
2013-07-25|NIU|H/Body 0.02 |T/Body 0.19 |CHG_PCT 5.0 |CHG/ATR nan |B/CHG 0.93 |B/ATR nan |V/LONG nan |V/SHORT 2.4 |V/PREV 0.8 |O 18.6 |H 19.5 |L 18.4 |C 19.4 |V 296 Thousand
2013-07-26|NIU|H/Body 0.21 |T/Body 1.13 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 1.46 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.4 |O 19.3 |H 19.8 |L 18.9 |C 19.7 |V 128 Thousand
2013-07-29|RED|H/Body 0.36 |T/Body 0.74 |CHG_PCT -1.4 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.2 |O 19.7 |H 19.8 |L 19.2 |C 19.4 |V 30 Thousand
2013-07-30|NIU|H/Body 0.42 |T/Body 1.05 |CHG_PCT 1.8 |CHG/ATR nan |B/CHG 0.54 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 2.3 |O 19.6 |H 19.9 |L 19.4 |C 19.8 |V 70 Thousand
2013-07-31|RED|H/Body 0.00 |T/Body 0.24 |CHG_PCT -0.7 |CHG/ATR nan |B/CHG -1.92 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.9 |O 19.9 |H 19.9 |L 19.6 |C 19.6 |V 62 Thousand
2013-08-01|RED|H/Body 0.35 |T/Body 0.96 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -2.09 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.7 |O 19.8 |H 19.8 |L 19.3 |C 19.5 |V 44 Thousand
