2000-04-06 | Bear | 36.06 / -0.7% | HEAD 100% | TAIL 100% | B/ATR nan
2000-04-07 | Bear | 35.38 / -1.2% | HEAD 44% | TAIL 44% | B/ATR nan
2000-04-10 | Bear | 35.06 / -0.2% | HEAD 971% | TAIL 171% | B/ATR nan
2000-04-11 | Bull | 35.63 / 1.3% | HEAD 57% | TAIL 30% | B/ATR nan
2000-04-12 | Bull | 36.5 / 1.7% | HEAD 71% | TAIL 21% | B/ATR nan
2000-04-13 | Bull | 37.06 / 2.2% | HEAD 54% | TAIL 15% | B/ATR nan
2000-04-14 | Bear | 36.19 / -0.3% | HEAD 733% | TAIL 108% | B/ATR nan
2000-04-17 | Bull | 36.69 / 1.2% | HEAD 27% | TAIL 70% | B/ATR nan
2000-04-18 | Bear | 36.13 / -1.5% | HEAD 0% | TAIL 34% | B/ATR nan
2000-04-19 | Bull | 36.06 / 0.2% | HEAD 633% | TAIL 317% | B/ATR nan
2000-04-20 | Bear | 36.19 / -0.3% | HEAD 0% | TAIL 258% | B/ATR nan
2000-04-24 | Bull | 36.81 / 2.1% | HEAD 25% | TAIL 0% | B/ATR nan
2000-04-25 | Bull | 38.0 / 2.5% | HEAD 47% | TAIL 53% | B/ATR nan
2000-04-26 | Bull | 37.75 / 0.0% | HEAD 2500% | TAIL 3700% | B/ATR nan
2000-04-27 | Bear | 37.13 / -0.3% | HEAD 317% | TAIL 108% | B/ATR nan
2000-04-28 | Bear | 36.38 / -1.0% | HEAD 51% | TAIL 19% | B/ATR nan
2000-05-01 | Bull | 36.44 / 0.0% | HEAD 4400% | TAIL 4400% | B/ATR nan
2000-05-02 | Bear | 36.25 / -1.2% | HEAD 14% | TAIL 43% | B/ATR nan
2000-05-03 | Bear | 37.88 / -0.3% | HEAD 158% | TAIL 525% | B/ATR nan
2000-05-04 | Bull | 38.06 / 1.1% | HEAD 116% | TAIL 30% | B/ATR nan
2000-05-05 | Bull | 38.06 / 0.3% | HEAD 267% | TAIL 0% | B/ATR nan
2000-05-08 | Bull | 38.19 / 0.2% | HEAD 617% | TAIL 217% | B/ATR nan
2000-05-09 | Bull | 38.25 / 1.2% | HEAD 114% | TAIL 0% | B/ATR nan
2000-05-10 | Bull | 38.25 / 0.3% | HEAD 317% | TAIL 0% | B/ATR nan
2000-05-11 | Bull | 38.44 / 0.5% | HEAD 195% | TAIL 63% | B/ATR nan
2000-05-12 | Bear | 38.44 / -0.2% | HEAD 317% | TAIL 633% | B/ATR nan
2000-05-15 | Bull | 38.5 / 1.3% | HEAD 76% | TAIL 0% | B/ATR nan
2000-05-16 | Bear | 38.69 / -0.2% | HEAD 517% | TAIL 633% | B/ATR nan
2000-05-17 | Bull | 39.06 / 0.8% | HEAD 123% | TAIL 61% | B/ATR nan
2000-05-18 | Bull | 38.88 / 0.5% | HEAD 163% | TAIL 0% | B/ATR nan
2000-05-19 | Bull | 39.81 / 3.4% | HEAD 5% | TAIL 0% | B/ATR nan
2000-05-22 | Bull | 39.63 / 1.6% | HEAD 40% | TAIL 70% | B/ATR nan
2000-05-23 | Bull | 39.63 / 1.6% | HEAD 10% | TAIL 0% | B/ATR nan
2000-05-24 | Bull | 40.06 / 0.8% | HEAD 61% | TAIL 19% | B/ATR 0.3
2000-05-25 | Bull | 39.81 / 0.2% | HEAD 733% | TAIL 200% | B/ATR 0.1
2000-05-26 | Bull | 41.0 / 3.8% | HEAD 25% | TAIL 0% | B/ATR 1.5
2000-05-30 | Bear | 40.63 / -0.6% | HEAD 348% | TAIL 100% | B/ATR 0.2
2000-05-31 | Bear | 39.5 / -2.8% | HEAD 0% | TAIL 17% | B/ATR 1.1
2000-06-01 | Bear | 39.63 / -0.9% | HEAD 135% | TAIL 68% | B/ATR 0.4
2000-06-02 | Bear | 39.56 / -0.5% | HEAD 163% | TAIL 32% | B/ATR 0.2
2000-06-05 | Bear | 38.75 / -1.4% | HEAD 45% | TAIL 34% | B/ATR 0.6
2000-06-06 | Bull | 39.75 / 3.2% | HEAD 10% | TAIL 40% | B/ATR 1.2
2000-06-07 | Bull | 40.0 / 0.6% | HEAD 176% | TAIL 24% | B/ATR 0.2
2000-06-08 | Bull | 39.44 / 0.3% | HEAD 0% | TAIL 431% | B/ATR 0.1
2000-06-09 | Bear | 38.94 / -0.6% | HEAD 148% | TAIL 24% | B/ATR 0.2
2000-06-12 | Bull | 39.63 / 2.3% | HEAD 35% | TAIL 0% | B/ATR 0.9
