2002-12-11|RED|H/Body 0.00 |T/Body 0.74 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -1.89 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.4 |O 19.1 |H 19.1 |L 18.2 |C 18.6 |V 79 Thousand
2002-12-12|RED|H/Body 0.20 |T/Body 0.00 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -0.90 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.2 |O 18.6 |H 18.6 |L 18.2 |C 18.2 |V 17 Thousand
2002-12-13|RED|H/Body 0.11 |T/Body 2.17 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -0.46 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 4.3 |O 18.0 |H 18.0 |L 17.4 |C 17.8 |V 71 Thousand
2002-12-16|NIU|H/Body 0.00 |T/Body 0.17 |CHG_PCT 9.3 |CHG/ATR nan |B/CHG 1.01 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 1.1 |O 17.8 |H 19.5 |L 17.6 |C 19.5 |V 80 Thousand
2002-12-17|RED|H/Body 0.57 |T/Body 0.50 |CHG_PCT -1.7 |CHG/ATR nan |B/CHG -0.91 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.5 |O 19.5 |H 19.6 |L 19.0 |C 19.2 |V 36 Thousand
2002-12-18|NIU|H/Body 2.67 |T/Body 0.00 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -0.88 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.1 |O 18.9 |H 19.4 |L 18.9 |C 19.0 |V 39 Thousand
2002-12-19|NIU|H/Body 0.00 |T/Body 24.00 |CHG_PCT 1.3 |CHG/ATR nan |B/CHG 0.04 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.6 |O 19.2 |H 19.2 |L 19.0 |C 19.2 |V 22 Thousand
2002-12-20|NIU|H/Body 0.36 |T/Body 1.14 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.3 |O 19.2 |H 19.6 |L 19.0 |C 19.5 |V 27 Thousand
2002-12-23|NIU|H/Body 4.00 |T/Body 0.00 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -0.42 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 1.9 |O 19.3 |H 19.6 |L 19.3 |C 19.4 |V 52 Thousand
2002-12-24|RED|H/Body 0.00 |T/Body 2.50 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.67 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.2 |O 19.6 |H 19.6 |L 19.3 |C 19.5 |V 9 Thousand
