2000-02-04|RED|H/Body 0.00 |T/Body 2.53 |CHG_PCT 2.3 |CHG/ATR nan |B/CHG 0.34 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.1 |O 40.9 |H 40.9 |L 39.8 |C 40.6 |V 258 Thousand
2000-02-07|RED|H/Body 0.00 |T/Body 0.02 |CHG_PCT -6.2 |CHG/ATR nan |B/CHG -1.08 |B/ATR nan |V/LONG nan |V/SHORT 1.7 |V/PREV 1.8 |O 40.8 |H 40.8 |L 38.0 |C 38.1 |V 453 Thousand
2000-02-08|NIU|H/Body 1.56 |T/Body 1.14 |CHG_PCT 4.8 |CHG/ATR nan |B/CHG 0.48 |B/ATR nan |V/LONG nan |V/SHORT 3.4 |V/PREV 2.2 |O 39.0 |H 41.2 |L 38.0 |C 39.9 |V 977 Thousand
2000-02-09|RED|H/Body 1.36 |T/Body 0.14 |CHG_PCT 2.5 |CHG/ATR nan |B/CHG 0.50 |B/ATR nan |V/LONG nan |V/SHORT 2.8 |V/PREV 1.3 |O 41.4 |H 42.1 |L 40.8 |C 40.9 |V 1 Million
2000-02-10|NIU|H/Body 0.13 |T/Body 0.00 |CHG_PCT 20.5 |CHG/ATR nan |B/CHG 0.70 |B/ATR nan |V/LONG nan |V/SHORT 3.2 |V/PREV 1.6 |O 43.4 |H 50.0 |L 43.4 |C 49.2 |V 2 Million
2000-02-11|RED|H/Body 0.04 |T/Body 2.14 |CHG_PCT 1.5 |CHG/ATR nan |B/CHG 2.25 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.4 |O 51.7 |H 51.8 |L 46.4 |C 50.0 |V 883 Thousand
2000-02-14|NIU|H/Body 0.00 |T/Body 0.06 |CHG_PCT 16.0 |CHG/ATR nan |B/CHG 0.99 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.5 |O 50.1 |H 58.0 |L 49.6 |C 58.0 |V 1 Million
2000-02-15|RED|H/Body 0.03 |T/Body 1.00 |CHG_PCT -3.9 |CHG/ATR nan |B/CHG -1.06 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.7 |O 58.1 |H 58.2 |L 53.4 |C 55.8 |V 938 Thousand
2000-02-16|NIU|H/Body 1.01 |T/Body 0.33 |CHG_PCT 4.6 |CHG/ATR nan |B/CHG 0.75 |B/ATR nan |V/LONG nan |V/SHORT 1.7 |V/PREV 2.3 |O 56.4 |H 60.2 |L 55.8 |C 58.3 |V 2 Million
2000-02-17|NIU|H/Body 0.16 |T/Body 0.21 |CHG_PCT 3.5 |CHG/ATR nan |B/CHG 1.15 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.5 |O 58.0 |H 60.8 |L 57.5 |C 60.4 |V 1 Million
2000-02-18|NIU|H/Body 0.11 |T/Body 0.06 |CHG_PCT 11.6 |CHG/ATR nan |B/CHG 1.13 |B/ATR nan |V/LONG nan |V/SHORT 1.6 |V/PREV 1.8 |O 59.5 |H 68.2 |L 59.1 |C 67.4 |V 2 Million
2000-02-22|NIU|H/Body 2.52 |T/Body 9.00 |CHG_PCT -2.8 |CHG/ATR nan |B/CHG -0.13 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.6 |O 65.2 |H 66.1 |L 63.0 |C 65.5 |V 1 Million
2000-02-23|NIU|H/Body 0.60 |T/Body 0.72 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 2.97 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.9 |O 64.8 |H 66.6 |L 63.9 |C 65.9 |V 1 Million
2000-02-24|RED|H/Body 0.44 |T/Body 2.75 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -1.59 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.5 |O 66.2 |H 66.7 |L 62.5 |C 65.2 |V 509 Thousand
2000-02-25|RED|H/Body 0.00 |T/Body 0.65 |CHG_PCT -6.2 |CHG/ATR nan |B/CHG -1.01 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.1 |O 65.3 |H 65.3 |L 58.5 |C 61.2 |V 581 Thousand
2000-02-28|RED|H/Body 4.77 |T/Body 7.69 |CHG_PCT -0.7 |CHG/ATR nan |B/CHG -0.30 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.9 |O 60.9 |H 61.5 |L 59.8 |C 60.8 |V 1 Million
2000-02-29|NIU|H/Body 0.21 |T/Body 0.00 |CHG_PCT 5.3 |CHG/ATR nan |B/CHG 1.11 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.6 |O 60.4 |H 64.8 |L 60.4 |C 64.0 |V 638 Thousand
2000-03-01|RED|H/Body 0.00 |T/Body 0.53 |CHG_PCT -2.9 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.3 |O 64.0 |H 64.0 |L 61.1 |C 62.1 |V 799 Thousand
2000-03-02|RED|H/Body 0.00 |T/Body 0.04 |CHG_PCT -6.7 |CHG/ATR nan |B/CHG -1.12 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.5 |O 62.6 |H 62.6 |L 57.8 |C 57.9 |V 398 Thousand
2000-03-03|NIU|H/Body 0.70 |T/Body 0.57 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.94 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 1.4 |O 58.0 |H 59.5 |L 57.5 |C 58.9 |V 570 Thousand
2000-03-06|RED|H/Body 6.00 |T/Body 0.67 |CHG_PCT -0.6 |CHG/ATR nan |B/CHG -1.97 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 1.6 |O 59.2 |H 63.8 |L 58.0 |C 58.5 |V 900 Thousand
2000-03-07|NIU|H/Body 0.46 |T/Body 0.35 |CHG_PCT 42.4 |CHG/ATR nan |B/CHG 0.35 |B/ATR nan |V/LONG nan |V/SHORT 6.2 |V/PREV 4.5 |O 74.8 |H 87.2 |L 71.8 |C 83.3 |V 4 Million
2000-03-08|NIU|H/Body 1.03 |T/Body 8.25 |CHG_PCT 0.8 |CHG/ATR nan |B/CHG 1.06 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.3 |O 83.3 |H 84.8 |L 77.2 |C 84.0 |V 1 Million
2000-03-09|NIU|H/Body 0.50 |T/Body 0.02 |CHG_PCT 19.4 |CHG/ATR nan |B/CHG 0.94 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 1.4 |O 85.0 |H 108.0 |L 84.8 |C 100.3 |V 2 Million
2000-03-10|NIU|H/Body 2.16 |T/Body 0.05 |CHG_PCT 17.6 |CHG/ATR nan |B/CHG 0.71 |B/ATR nan |V/LONG nan |V/SHORT 2.5 |V/PREV 2.3 |O 105.5 |H 145.0 |L 104.9 |C 118.0 |V 5 Million
2000-03-13|NIU|H/Body 0.02 |T/Body 0.00 |CHG_PCT 26.5 |CHG/ATR nan |B/CHG 1.35 |B/ATR nan |V/LONG nan |V/SHORT 2.0 |V/PREV 1.1 |O 107.0 |H 150.0 |L 107.0 |C 149.3 |V 5 Million
