2000-04-06 | Bull | 95.94 / 0.0% | HEAD 48600% | TAIL 45600% | B/ATR nan
2000-04-07 | Bull | 102.6 / 3.4% | HEAD 70% | TAIL 79% | B/ATR nan
2000-04-10 | Bear | 93.5 / -10.4% | HEAD 56% | TAIL 18% | B/ATR nan
2000-04-11 | Bull | 87.94 / 1.1% | HEAD 751% | TAIL 745% | B/ATR nan
2000-04-12 | Bear | 78.81 / -10.5% | HEAD 21% | TAIL 3% | B/ATR nan
2000-04-13 | Bear | 75.44 / -5.0% | HEAD 70% | TAIL 33% | B/ATR nan
2000-04-14 | Bear | 68.8 / -2.6% | HEAD 297% | TAIL 180% | B/ATR nan
2000-04-17 | Bull | 72.31 / 14.8% | HEAD 29% | TAIL 0% | B/ATR nan
2000-04-18 | Bull | 85.13 / 7.0% | HEAD 83% | TAIL 42% | B/ATR nan
2000-04-19 | Bear | 81.06 / -7.7% | HEAD 18% | TAIL 16% | B/ATR nan
2000-04-20 | Bear | 80.63 / -3.1% | HEAD 60% | TAIL 43% | B/ATR nan
2000-04-24 | Bull | 76.63 / 0.8% | HEAD 437% | TAIL 535% | B/ATR nan
2000-04-25 | Bull | 85.0 / 6.2% | HEAD 51% | TAIL 4% | B/ATR nan
2000-04-26 | Bear | 84.13 / -7.5% | HEAD 30% | TAIL 2% | B/ATR nan
2000-04-27 | Bull | 91.0 / 15.9% | HEAD 7% | TAIL 4% | B/ATR nan
2000-04-28 | Bear | 89.13 / -3.6% | HEAD 108% | TAIL 0% | B/ATR nan
2000-05-01 | Bear | 92.0 / -0.5% | HEAD 400% | TAIL 438% | B/ATR nan
2000-05-02 | Bear | 88.44 / -3.9% | HEAD 151% | TAIL 72% | B/ATR nan
2000-05-03 | Bear | 87.0 / -1.0% | HEAD 326% | TAIL 795% | B/ATR nan
2000-05-04 | Bull | 88.06 / 1.4% | HEAD 295% | TAIL 60% | B/ATR nan
2000-05-05 | Bull | 92.13 / 5.1% | HEAD 48% | TAIL 27% | B/ATR nan
2000-05-08 | Bear | 88.75 / -1.1% | HEAD 325% | TAIL 12% | B/ATR nan
2000-05-09 | Bear | 87.5 / -3.0% | HEAD 27% | TAIL 91% | B/ATR nan
2000-05-10 | Bear | 78.88 / -8.9% | HEAD 1% | TAIL 10% | B/ATR nan
2000-05-11 | Bull | 82.25 / 2.8% | HEAD 64% | TAIL 47% | B/ATR nan
2000-05-12 | Bear | 79.75 / -5.6% | HEAD 95% | TAIL 0% | B/ATR nan
2000-05-15 | Bull | 85.25 / 7.4% | HEAD 24% | TAIL 66% | B/ATR nan
2000-05-16 | Bull | 94.0 / 5.6% | HEAD 54% | TAIL 20% | B/ATR nan
2000-05-17 | Bull | 110.5 / 11.6% | HEAD 36% | TAIL 1% | B/ATR nan
2000-05-18 | Bear | 103.0 / -7.3% | HEAD 22% | TAIL 9% | B/ATR nan
2000-05-19 | Bull | 102.1 / 2.1% | HEAD 162% | TAIL 36% | B/ATR nan
2000-05-22 | Bull | 108.8 / 7.7% | HEAD 0% | TAIL 115% | B/ATR nan
2000-05-23 | Bull | 107.9 / 1.8% | HEAD 526% | TAIL 89% | B/ATR nan
2000-05-24 | Bear | 106.5 / -1.2% | HEAD 131% | TAIL 1096% | B/ATR nan
2000-05-25 | Bear | 105.0 / -2.9% | HEAD 206% | TAIL 42% | B/ATR nan
2000-05-26 | Bull | 105.5 / 0.0% | HEAD 29000% | TAIL 65000% | B/ATR nan
2000-05-30 | Bull | 109.9 / 1.4% | HEAD 180% | TAIL 33% | B/ATR nan
2000-05-31 | Bull | 112.8 / 3.0% | HEAD 97% | TAIL 0% | B/ATR nan
2000-06-01 | Bear | 117.3 / -0.2% | HEAD 550% | TAIL 1450% | B/ATR nan
2000-06-02 | Bull | 131.6 / 9.8% | HEAD 12% | TAIL 0% | B/ATR nan
2000-06-05 | Bull | 134.4 / 2.3% | HEAD 220% | TAIL 177% | B/ATR nan
2000-06-06 | Bear | 127.7 / -5.3% | HEAD 69% | TAIL 10% | B/ATR nan
2000-06-07 | Bear | 122.0 / -3.8% | HEAD 21% | TAIL 40% | B/ATR nan
2000-06-08 | Bear | 122.9 / -1.8% | HEAD 9% | TAIL 223% | B/ATR nan
2000-06-09 | Bull | 126.4 / 0.9% | HEAD 509% | TAIL 173% | B/ATR nan
2000-06-12 | Bear | 123.1 / -3.1% | HEAD 28% | TAIL 72% | B/ATR nan
2000-06-13 | Bull | 126.9 / 6.1% | HEAD 1% | TAIL 8% | B/ATR nan
2000-06-14 | Bear | 126.8 / -1.9% | HEAD 28% | TAIL 68% | B/ATR nan
2000-06-15 | Bull | 130.1 / 2.9% | HEAD 0% | TAIL 184% | B/ATR nan
2000-06-16 | Bull | 149.8 / 15.5% | HEAD 1% | TAIL 0% | B/ATR nan
2000-06-19 | Bull | 159.1 / 6.5% | HEAD 126% | TAIL 39% | B/ATR nan
2000-06-20 | Bear | 157.0 / -3.0% | HEAD 39% | TAIL 41% | B/ATR nan
2000-06-21 | Bull | 172.9 / 11.8% | HEAD 17% | TAIL 0% | B/ATR nan
2000-06-22 | Bear | 163.5 / -5.1% | HEAD 41% | TAIL 18% | B/ATR 1.0
2000-06-23 | Bear | 148.1 / -6.9% | HEAD 18% | TAIL 1% | B/ATR 1.2
2000-06-26 | Bull | 165.9 / 9.9% | HEAD 7% | TAIL 16% | B/ATR 1.6
2000-06-27 | Bear | 71.25 / -13.4% | HEAD 13% | TAIL 20% | B/ATR 1.2
2000-06-28 | Bear | 68.5 / -5.8% | HEAD 65% | TAIL 47% | B/ATR 0.5
2000-06-29 | Bear | 58.63 / -12.9% | HEAD 0% | TAIL 13% | B/ATR 0.9
2000-06-30 | Bull | 63.56 / 3.6% | HEAD 49% | TAIL 138% | B/ATR 0.2
2000-07-03 | Bear | 61.13 / -4.5% | HEAD 70% | TAIL 22% | B/ATR 0.3
2000-07-05 | Bear | 54.56 / -10.4% | HEAD 2% | TAIL 29% | B/ATR 0.7
2000-07-06 | Bull | 57.88 / 5.9% | HEAD 62% | TAIL 41% | B/ATR 0.3
2000-07-07 | Bear | 58.19 / -3.0% | HEAD 55% | TAIL 66% | B/ATR 0.2
2000-07-10 | Bull | 61.19 / 7.0% | HEAD 36% | TAIL 14% | B/ATR 0.4
2000-07-11 | Bull | 66.13 / 9.5% | HEAD 54% | TAIL 12% | B/ATR 0.6
2000-07-12 | Bear | 68.0 / -1.3% | HEAD 291% | TAIL 149% | B/ATR 0.1
2000-07-13 | Bull | 74.38 / 7.1% | HEAD 7% | TAIL 3% | B/ATR 0.5
2000-07-14 | Bear | 73.81 / -2.7% | HEAD 69% | TAIL 87% | B/ATR 0.2
2000-07-17 | Bear | 73.0 / -2.6% | HEAD 3% | TAIL 13% | B/ATR 0.2
2000-07-18 | Bull | 71.56 / 3.7% | HEAD 134% | TAIL 0% | B/ATR 0.3
2000-07-19 | Bear | 67.0 / -2.9% | HEAD 25% | TAIL 72% | B/ATR 0.2
