2013-10-22 | Bear | 33.946 / -1.9% | HEAD 43% | TAIL 137% | B/ATR nan
2013-10-23 | Bull | 34.31 / 2.1% | HEAD 24% | TAIL 49% | B/ATR nan
2013-10-24 | Bull | 35.0 / 2.0% | HEAD 30% | TAIL 103% | B/ATR nan
2013-10-25 | Bull | 35.35 / 1.0% | HEAD 43% | TAIL 86% | B/ATR nan
2013-10-28 | Bear | 33.77 / -4.6% | HEAD 0% | TAIL 11% | B/ATR nan
2013-10-29 | Bull | 34.02 / 0.8% | HEAD 22% | TAIL 321% | B/ATR nan
2013-10-30 | Bear | 33.32 / -1.8% | HEAD 15% | TAIL 31% | B/ATR nan
2013-10-31 | Bear | 32.62 / -2.2% | HEAD 84% | TAIL 35% | B/ATR nan
2013-11-01 | Bear | 32.38 / -0.4% | HEAD 600% | TAIL 193% | B/ATR nan
2013-11-04 | Bull | 32.738 / 1.0% | HEAD 151% | TAIL 0% | B/ATR nan
2013-11-05 | Bull | 32.14 / 0.9% | HEAD 93% | TAIL 288% | B/ATR nan
2013-11-06 | Bear | 32.91 / -0.5% | HEAD 933% | TAIL 922% | B/ATR nan
2013-11-07 | Bear | 31.5 / -4.9% | HEAD 4% | TAIL 5% | B/ATR nan
2013-11-08 | Bear | 30.83 / -2.5% | HEAD 26% | TAIL 92% | B/ATR nan
2013-11-11 | Bull | 31.52 / 2.7% | HEAD 24% | TAIL 83% | B/ATR nan
2013-11-12 | Bull | 31.75 / 1.2% | HEAD 19% | TAIL 166% | B/ATR nan
2013-11-13 | Bull | 32.08 / 1.3% | HEAD 10% | TAIL 36% | B/ATR nan
2013-11-14 | Bull | 32.6 / 1.8% | HEAD 174% | TAIL 0% | B/ATR nan
2013-11-15 | Bear | 32.44 / -0.6% | HEAD 219% | TAIL 57% | B/ATR nan
2013-11-18 | Bull | 32.62 / 0.5% | HEAD 193% | TAIL 100% | B/ATR nan
2013-11-19 | Bear | 31.66 / -3.7% | HEAD 8% | TAIL 13% | B/ATR nan
2013-11-20 | Bear | 30.67 / -2.6% | HEAD 0% | TAIL 52% | B/ATR nan
