2000-04-06 | Bull | 28.5 / 1.1% | HEAD 19% | TAIL 61% | B/ATR nan
2000-04-07 | Bull | 29.31 / 3.5% | HEAD 13% | TAIL 6% | B/ATR nan
2000-04-10 | Bull | 30.0 / 0.8% | HEAD 300% | TAIL 200% | B/ATR nan
2000-04-11 | Bull | 31.81 / 6.0% | HEAD 10% | TAIL 10% | B/ATR nan
2000-04-12 | Bear | 30.94 / -2.7% | HEAD 15% | TAIL 15% | B/ATR nan
2000-04-13 | Bear | 30.88 / -0.4% | HEAD 0% | TAIL 208% | B/ATR nan
2000-04-14 | Bear | 29.5 / -3.7% | HEAD 22% | TAIL 0% | B/ATR nan
2000-04-17 | Bear | 29.25 / -0.5% | HEAD 250% | TAIL 312% | B/ATR nan
2000-04-18 | Bear | 28.69 / -1.1% | HEAD 81% | TAIL 61% | B/ATR nan
2000-04-19 | Bull | 29.0 / 0.4% | HEAD 108% | TAIL 108% | B/ATR nan
2000-04-20 | Bull | 28.94 / 0.0% | HEAD 1900% | TAIL 1300% | B/ATR nan
2000-04-24 | Bull | 28.94 / 0.0% | HEAD 600% | TAIL 11900% | B/ATR nan
2000-04-25 | Bear | 28.38 / -2.1% | HEAD 0% | TAIL 40% | B/ATR nan
2000-04-26 | Bear | 27.19 / -5.2% | HEAD 0% | TAIL 0% | B/ATR nan
2000-04-27 | Bear | 26.94 / -0.9% | HEAD 0% | TAIL 100% | B/ATR nan
2000-04-28 | Bear | 26.81 / -1.6% | HEAD 0% | TAIL 14% | B/ATR nan
2000-05-01 | Bear | 26.81 / -1.6% | HEAD 0% | TAIL 84% | B/ATR nan
2000-05-02 | Bear | 26.44 / -1.2% | HEAD 35% | TAIL 161% | B/ATR nan
2000-05-03 | Bull | 28.63 / 8.3% | HEAD 0% | TAIL 11% | B/ATR nan
2000-05-04 | Bull | 28.56 / 2.0% | HEAD 191% | TAIL 55% | B/ATR nan
2000-05-05 | Bull | 28.81 / 0.2% | HEAD 217% | TAIL 933% | B/ATR nan
2000-05-08 | Bull | 28.44 / 0.9% | HEAD 200% | TAIL 76% | B/ATR nan
2000-05-09 | Bull | 29.0 / 2.0% | HEAD 11% | TAIL 23% | B/ATR nan
2000-05-10 | Bear | 22.75 / -18.8% | HEAD 10% | TAIL 25% | B/ATR nan
2000-05-11 | Bull | 23.94 / 2.4% | HEAD 34% | TAIL 112% | B/ATR nan
2000-05-12 | Bear | 23.5 / -3.3% | HEAD 54% | TAIL 0% | B/ATR nan
2000-05-15 | Bear | 23.63 / -2.1% | HEAD 0% | TAIL 26% | B/ATR nan
2000-05-16 | Bull | 27.0 / 13.7% | HEAD 8% | TAIL 4% | B/ATR nan
2000-05-17 | Bull | 27.31 / 4.3% | HEAD 0% | TAIL 45% | B/ATR nan
2000-05-18 | Bear | 26.25 / -3.2% | HEAD 28% | TAIL 28% | B/ATR nan
2000-05-19 | Bear | 26.38 / -2.1% | HEAD 11% | TAIL 34% | B/ATR nan
2000-05-22 | Bull | 26.44 / 0.2% | HEAD 317% | TAIL 3033% | B/ATR nan
2000-05-23 | Bear | 26.31 / -0.3% | HEAD 1157% | TAIL 1243% | B/ATR nan
2000-05-24 | Bull | 27.5 / 4.2% | HEAD 0% | TAIL 34% | B/ATR 0.9
2000-05-25 | Bear | 26.31 / -4.3% | HEAD 21% | TAIL 10% | B/ATR 0.9
2000-05-26 | Bull | 26.81 / 2.1% | HEAD 168% | TAIL 21% | B/ATR 0.4
2000-05-30 | Bull | 30.88 / 13.8% | HEAD 3% | TAIL 3% | B/ATR 2.8
2000-05-31 | Bear | 29.5 / -1.7% | HEAD 0% | TAIL 300% | B/ATR 0.4
2000-06-01 | Bull | 31.0 / 5.1% | HEAD 0% | TAIL 0% | B/ATR 1.1
2000-06-02 | Bear | 31.0 / -1.4% | HEAD 43% | TAIL 127% | B/ATR 0.3
2000-06-05 | Bear | 29.75 / -2.6% | HEAD 28% | TAIL 24% | B/ATR 0.6
2000-06-06 | Bull | 29.75 / 1.3% | HEAD 338% | TAIL 68% | B/ATR 0.3
2000-06-07 | Bull | 32.44 / 8.1% | HEAD 10% | TAIL 0% | B/ATR 1.8
2000-06-08 | Bull | 33.25 / 3.1% | HEAD 88% | TAIL 6% | B/ATR 0.7
2000-06-09 | Bear | 33.0 / -1.3% | HEAD 14% | TAIL 455% | B/ATR 0.3
2000-06-12 | Bear | 31.38 / -4.9% | HEAD 0% | TAIL 23% | B/ATR 1.2
2000-06-13 | Bear | 30.38 / -0.4% | HEAD 25% | TAIL 1775% | B/ATR 0.1
2000-06-14 | Bull | 31.63 / 4.1% | HEAD 40% | TAIL 20% | B/ATR 0.9
2000-06-15 | Bull | 32.25 / 2.4% | HEAD 0% | TAIL 67% | B/ATR 0.5
2000-06-16 | Bear | 31.38 / -1.8% | HEAD 27% | TAIL 12% | B/ATR 0.4
2000-06-19 | Bull | 33.5 / 6.6% | HEAD 24% | TAIL 18% | B/ATR 1.5
2000-06-20 | Bear | 33.0 / -2.2% | HEAD 0% | TAIL 83% | B/ATR 0.5
2000-06-21 | Bear | 32.75 / -1.0% | HEAD 0% | TAIL 74% | B/ATR 0.2
2000-06-22 | Bear | 32.5 / -0.8% | HEAD 52% | TAIL 0% | B/ATR 0.2
2000-06-23 | Bull | 32.75 / 0.8% | HEAD 0% | TAIL 624% | B/ATR 0.2
2000-06-26 | Bear | 32.0 / -2.9% | HEAD 60% | TAIL 0% | B/ATR 0.7
2000-06-27 | Bear | 31.13 / -2.9% | HEAD 0% | TAIL 0% | B/ATR 0.6
2000-06-28 | Bull | 32.63 / 4.0% | HEAD 0% | TAIL 35% | B/ATR 0.9
2000-06-29 | Bull | 35.56 / 11.1% | HEAD 9% | TAIL 0% | B/ATR 2.4
2000-06-30 | Bull | 36.69 / 4.1% | HEAD 22% | TAIL 8% | B/ATR 1.0
2000-07-03 | Bull | 37.0 / 1.4% | HEAD 100% | TAIL 350% | B/ATR 0.3
2000-07-05 | Bear | 36.25 / -3.3% | HEAD 0% | TAIL 10% | B/ATR 0.8
2000-07-06 | Bull | 37.5 / 3.3% | HEAD 0% | TAIL 10% | B/ATR 0.8
2000-07-07 | Bear | 35.06 / -6.5% | HEAD 1% | TAIL 93% | B/ATR 1.6
2000-07-10 | Bear | 34.06 / -2.7% | HEAD 20% | TAIL 152% | B/ATR 0.6
2000-07-11 | Bear | 33.5 / -1.1% | HEAD 97% | TAIL 295% | B/ATR 0.3
2000-07-12 | Bull | 35.19 / 4.3% | HEAD 22% | TAIL 17% | B/ATR 1.0
2000-07-13 | Bear | 34.13 / -3.2% | HEAD 0% | TAIL 22% | B/ATR 0.7
2000-07-14 | Bear | 34.25 / -0.7% | HEAD 0% | TAIL 500% | B/ATR 0.2
2000-07-17 | Bear | 32.5 / -4.4% | HEAD 4% | TAIL 8% | B/ATR 1.0
2000-07-18 | Bear | 30.25 / -5.3% | HEAD 4% | TAIL 37% | B/ATR 1.1
2000-07-19 | Bull | 31.13 / 3.1% | HEAD 53% | TAIL 6% | B/ATR 0.6
2000-07-20 | Bear | 30.63 / -1.2% | HEAD 68% | TAIL 170% | B/ATR 0.2
2000-07-21 | Bear | 29.0 / -5.3% | HEAD 0% | TAIL 7% | B/ATR 1.0
2000-07-24 | Bull | 29.38 / 0.4% | HEAD 477% | TAIL 277% | B/ATR 0.1
2000-07-25 | Bull | 30.0 / 0.5% | HEAD 937% | TAIL 288% | B/ATR 0.1
2000-07-26 | Bear | 28.81 / -3.8% | HEAD 5% | TAIL 27% | B/ATR 0.7
2000-07-27 | Bull | 29.06 / 0.9% | HEAD 76% | TAIL 172% | B/ATR 0.2
2000-07-28 | Bear | 27.75 / -4.3% | HEAD 2% | TAIL 20% | B/ATR 0.8
2000-07-31 | Bear | 26.63 / -4.9% | HEAD 9% | TAIL 9% | B/ATR 0.9
2000-08-01 | Bull | 29.38 / 9.6% | HEAD 39% | TAIL 0% | B/ATR 1.6
2000-08-02 | Bear | 28.38 / -3.8% | HEAD 12% | TAIL 22% | B/ATR 0.7
2000-08-03 | Bull | 29.31 / 4.5% | HEAD 6% | TAIL 30% | B/ATR 0.8
2000-08-04 | Bull | 29.63 / 1.1% | HEAD 0% | TAIL 97% | B/ATR 0.2
2000-08-07 | Bull | 31.0 / 4.4% | HEAD 86% | TAIL 17% | B/ATR 0.8
2000-08-08 | Bear | 29.69 / -4.0% | HEAD 35% | TAIL 45% | B/ATR 0.8
2000-08-09 | Bear | 28.75 / -4.6% | HEAD 18% | TAIL 4% | B/ATR 0.9
2000-08-10 | Bear | 28.5 / -1.7% | HEAD 50% | TAIL 0% | B/ATR 0.3
2000-08-11 | Bull | 30.75 / 7.0% | HEAD 6% | TAIL 12% | B/ATR 1.2
2000-08-14 | Bear | 29.81 / -2.5% | HEAD 9% | TAIL 8% | B/ATR 0.5
2000-08-15 | Bear | 29.56 / -1.5% | HEAD 0% | TAIL 14% | B/ATR 0.3
2000-08-16 | Bear | 29.19 / -1.8% | HEAD 6% | TAIL 11% | B/ATR 0.3
2000-08-17 | Bear | 28.88 / -0.9% | HEAD 0% | TAIL 328% | B/ATR 0.2
2000-08-18 | Bull | 30.25 / 2.5% | HEAD 92% | TAIL 133% | B/ATR 0.5
2000-08-21 | Bear | 30.0 / -0.8% | HEAD 100% | TAIL 248% | B/ATR 0.2
2000-08-22 | Bull | 30.0 / 0.0% | HEAD 0% | TAIL 3100% | B/ATR 0.0
2000-08-23 | Bull | 30.06 / 1.9% | HEAD 102% | TAIL 0% | B/ATR 0.3
2000-08-24 | Bear | 29.94 / -0.4% | HEAD 158% | TAIL 0% | B/ATR 0.1
2000-08-25 | Bull | 30.44 / 1.5% | HEAD 43% | TAIL 0% | B/ATR 0.3
2000-08-28 | Bull | 31.0 / 1.2% | HEAD 35% | TAIL 68% | B/ATR 0.2
2000-08-29 | Bull | 30.81 / 0.6% | HEAD 72% | TAIL 278% | B/ATR 0.1
2000-08-30 | Bear | 30.13 / -2.2% | HEAD 10% | TAIL 37% | B/ATR 0.4
2000-08-31 | Bull | 31.25 / 2.9% | HEAD 0% | TAIL 0% | B/ATR 0.5
2000-09-01 | Bull | 33.06 / 4.7% | HEAD 187% | TAIL 2% | B/ATR 0.9
2000-09-05 | Bull | 33.5 / 0.8% | HEAD 225% | TAIL 57% | B/ATR 0.2
2000-09-06 | Bear | 31.69 / -5.9% | HEAD 3% | TAIL 78% | B/ATR 1.2
2000-09-07 | Bull | 31.94 / 0.0% | HEAD 0% | TAIL 10000% | B/ATR 0.0
2000-09-08 | Bear | 30.94 / -3.1% | HEAD 0% | TAIL 0% | B/ATR 0.6
2000-09-11 | Bear | 29.94 / -3.4% | HEAD 24% | TAIL 6% | B/ATR 0.7
2000-09-12 | Bull | 30.88 / 2.6% | HEAD 15% | TAIL 0% | B/ATR 0.5
2000-09-13 | Bear | 31.0 / -0.4% | HEAD 0% | TAIL 577% | B/ATR 0.1
2000-09-14 | Bear | 30.25 / -2.8% | HEAD 0% | TAIL 42% | B/ATR 0.5
2000-09-15 | Bear | 28.56 / -4.0% | HEAD 5% | TAIL 299% | B/ATR 0.7
2000-09-18 | Bear | 27.5 / -3.2% | HEAD 202% | TAIL 7% | B/ATR 0.6
2000-09-19 | Bull | 32.31 / 19.1% | HEAD 23% | TAIL 3% | B/ATR 3.2
2000-09-20 | Bull | 33.13 / 6.0% | HEAD 53% | TAIL 6% | B/ATR 1.2
2000-09-21 | Bull | 35.94 / 11.0% | HEAD 12% | TAIL 0% | B/ATR 2.2
2000-09-22 | Bull | 34.09 / 1.0% | HEAD 488% | TAIL 0% | B/ATR 0.2
2000-09-25 | Bull | 35.0 / 0.7% | HEAD 252% | TAIL 300% | B/ATR 0.2
2000-09-26 | Bear | 34.38 / -1.2% | HEAD 44% | TAIL 102% | B/ATR 0.3
2000-09-27 | Bear | 34.06 / -0.9% | HEAD 350% | TAIL 97% | B/ATR 0.2
2000-09-28 | Bull | 35.0 / 2.5% | HEAD 15% | TAIL 15% | B/ATR 0.5
2000-09-29 | Bull | 35.13 / 0.4% | HEAD 669% | TAIL 338% | B/ATR 0.1
2000-10-02 | Bear | 34.56 / -1.3% | HEAD 100% | TAIL 27% | B/ATR 0.3
2000-10-03 | Bear | 34.19 / -2.3% | HEAD 0% | TAIL 0% | B/ATR 0.5
2000-10-04 | Bull | 35.5 / 4.0% | HEAD 23% | TAIL 5% | B/ATR 0.8
2000-10-05 | Bear | 34.5 / -3.0% | HEAD 19% | TAIL 11% | B/ATR 0.6
2000-10-06 | Bull | 35.06 / 1.3% | HEAD 71% | TAIL 80% | B/ATR 0.3
2000-10-09 | Bull | 35.38 / 0.8% | HEAD 207% | TAIL 19% | B/ATR 0.2
2000-10-10 | Bear | 35.5 / -1.4% | HEAD 138% | TAIL 0% | B/ATR 0.3
2000-10-11 | Bull | 38.0 / 6.3% | HEAD 22% | TAIL 0% | B/ATR 1.3
2000-10-12 | Bear | 37.75 / -1.9% | HEAD 133% | TAIL 125% | B/ATR 0.4
2000-10-13 | Bear | 34.19 / -8.8% | HEAD 4% | TAIL 2% | B/ATR 2.0
2000-10-16 | Bull | 34.94 / 0.2% | HEAD 517% | TAIL 2200% | B/ATR 0.0
2000-10-17 | Bear | 33.88 / -4.2% | HEAD 0% | TAIL 0% | B/ATR 0.9
2000-10-18 | Bear | 33.44 / -2.7% | HEAD 0% | TAIL 6% | B/ATR 0.6
