2000-02-03|NIU|H/Body 0.63 |T/Body 0.32 |CHG_PCT -0.3 |CHG/ATR nan |B/CHG -3.17 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.2 |O 19.4 |H 19.8 |L 19.4 |C 19.6 |V 40 Thousand
2000-02-04|NIU|H/Body 0.23 |T/Body 0.01 |CHG_PCT 32.1 |CHG/ATR nan |B/CHG 0.39 |B/ATR nan |V/LONG nan |V/SHORT 10.2 |V/PREV 17.7 |O 23.5 |H 26.5 |L 23.4 |C 25.9 |V 702 Thousand
2000-02-07|RED|H/Body 1.94 |T/Body 0.19 |CHG_PCT -1.5 |CHG/ATR nan |B/CHG -0.84 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 0.3 |O 25.9 |H 26.5 |L 25.5 |C 25.6 |V 236 Thousand
2000-02-08|RED|H/Body 12.00 |T/Body 13.00 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 0.14 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.4 |O 25.6 |H 25.8 |L 25.5 |C 25.6 |V 106 Thousand
2000-02-09|NIU|H/Body 0.24 |T/Body 0.00 |CHG_PCT 0.5 |CHG/ATR nan |B/CHG 2.08 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.0 |O 25.5 |H 25.8 |L 25.5 |C 25.8 |V 102 Thousand
2000-02-10|NIU|H/Body 0.00 |T/Body 1.00 |CHG_PCT 1.9 |CHG/ATR nan |B/CHG 0.62 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.4 |O 25.9 |H 26.2 |L 25.6 |C 26.2 |V 36 Thousand
2000-02-11|NIU|H/Body 1.00 |T/Body 0.52 |CHG_PCT 0.5 |CHG/ATR nan |B/CHG 1.92 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 1.2 |O 26.1 |H 26.6 |L 26.0 |C 26.4 |V 44 Thousand
2000-02-14|NIU|H/Body 0.12 |T/Body 0.26 |CHG_PCT 0.9 |CHG/ATR nan |B/CHG 2.00 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 1.4 |O 26.1 |H 26.7 |L 26.0 |C 26.6 |V 63 Thousand
2000-02-15|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 2.8 |CHG/ATR nan |B/CHG 1.17 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 1.2 |O 26.5 |H 27.4 |L 26.5 |C 27.4 |V 76 Thousand
2000-02-16|RED|H/Body 1.71 |T/Body 4.43 |CHG_PCT -2.1 |CHG/ATR nan |B/CHG -0.12 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.7 |O 26.9 |H 27.0 |L 26.5 |C 26.8 |V 50 Thousand
2000-02-17|NIU|H/Body 0.35 |T/Body 0.00 |CHG_PCT 0.7 |CHG/ATR nan |B/CHG 1.95 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.1 |O 26.6 |H 27.1 |L 26.6 |C 27.0 |V 55 Thousand
2000-02-18|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 0.4 |O 26.9 |H 27.0 |L 26.9 |C 27.0 |V 20 Thousand
2000-02-22|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 3.0 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 2.1 |O 27.0 |H 27.8 |L 27.0 |C 27.8 |V 44 Thousand
2000-02-23|NIU|H/Body 0.95 |T/Body 0.00 |CHG_PCT 3.4 |CHG/ATR nan |B/CHG 1.33 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.3 |O 27.5 |H 29.9 |L 27.5 |C 28.8 |V 56 Thousand
2000-02-24|RED|H/Body 0.22 |T/Body 0.22 |CHG_PCT -4.3 |CHG/ATR nan |B/CHG -0.90 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 0.8 |O 28.6 |H 28.9 |L 27.2 |C 27.5 |V 43 Thousand
2000-02-25|RED|H/Body 1.51 |T/Body 0.19 |CHG_PCT -2.3 |CHG/ATR nan |B/CHG -0.60 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 1.4 |O 27.2 |H 27.8 |L 26.8 |C 26.9 |V 60 Thousand
2000-02-28|RED|H/Body 37.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.4 |O 26.9 |H 27.2 |L 26.9 |C 26.9 |V 25 Thousand
2000-02-29|RED|H/Body 0.31 |T/Body 0.00 |CHG_PCT -1.6 |CHG/ATR nan |B/CHG -1.41 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 2.3 |O 27.1 |H 27.2 |L 26.4 |C 26.4 |V 58 Thousand
2000-03-01|NIU|H/Body 0.45 |T/Body 0.00 |CHG_PCT 2.1 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 0.9 |O 26.4 |H 27.2 |L 26.4 |C 27.0 |V 52 Thousand
2000-03-02|RED|H/Body 0.15 |T/Body 0.00 |CHG_PCT -3.2 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 1.4 |O 27.0 |H 27.1 |L 26.1 |C 26.1 |V 71 Thousand
2000-03-03|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 3.3 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.7 |O 26.1 |H 27.0 |L 26.1 |C 27.0 |V 48 Thousand
2000-03-06|RED|H/Body 63.00 |T/Body 12.00 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.02 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.8 |O 26.5 |H 27.1 |L 26.4 |C 26.5 |V 38 Thousand
