2015-05-15 | Bull | 43.97 / 0.7% | HEAD 41% | TAIL 59% | B/ATR nan
2015-05-18 | Bull | 45.41 / 3.7% | HEAD 41% | TAIL 16% | B/ATR nan
2015-05-19 | Bear | 45.05 / -0.6% | HEAD 55% | TAIL 31% | B/ATR nan
2015-05-20 | Bull | 45.25 / 0.3% | HEAD 454% | TAIL 23% | B/ATR nan
2015-05-21 | Bull | 45.82 / 2.2% | HEAD 27% | TAIL 0% | B/ATR nan
2015-05-22 | Bull | 46.7 / 1.9% | HEAD 10% | TAIL 0% | B/ATR nan
2015-05-26 | Bear | 45.22 / -2.6% | HEAD 33% | TAIL 18% | B/ATR nan
2015-05-27 | Bull | 46.26 / 0.0% | HEAD 2300% | TAIL 6200% | B/ATR nan
2015-05-28 | Bull | 46.25 / 0.4% | HEAD 100% | TAIL 16% | B/ATR nan
2015-05-29 | Bull | 46.09 / 0.7% | HEAD 159% | TAIL 91% | B/ATR nan
2015-06-01 | Bear | 45.76 / -0.8% | HEAD 62% | TAIL 68% | B/ATR nan
2015-06-02 | Bull | 45.0 / 0.0% | HEAD 4900% | TAIL 3600% | B/ATR nan
2015-06-03 | Bear | 45.02 / -0.0% | HEAD 8900% | TAIL 400% | B/ATR nan
2015-06-04 | Bull | 45.33 / 1.2% | HEAD 22% | TAIL 19% | B/ATR nan
2015-06-05 | Bull | 45.28 / 0.3% | HEAD 133% | TAIL 220% | B/ATR nan
2015-06-08 | Bear | 44.99 / -0.4% | HEAD 213% | TAIL 13% | B/ATR nan
2015-06-09 | Bull | 44.92 / 0.2% | HEAD 511% | TAIL 111% | B/ATR nan
2015-06-10 | Bull | 46.92 / 3.9% | HEAD 25% | TAIL 5% | B/ATR nan
2015-06-11 | Bull | 47.24 / 0.4% | HEAD 312% | TAIL 29% | B/ATR nan
2015-06-12 | Bull | 46.53 / 0.2% | HEAD 418% | TAIL 127% | B/ATR nan
2015-06-15 | Bull | 46.25 / 0.8% | HEAD 78% | TAIL 39% | B/ATR nan
2015-06-16 | Bull | 47.39 / 2.5% | HEAD 24% | TAIL 0% | B/ATR nan
2015-06-17 | Bear | 47.39 / -0.1% | HEAD 1800% | TAIL 433% | B/ATR nan
2015-06-18 | Bull | 47.42 / 0.9% | HEAD 86% | TAIL 0% | B/ATR nan
2015-06-19 | Bear | 47.07 / -0.7% | HEAD 5% | TAIL 118% | B/ATR nan
2015-06-22 | Bear | 46.65 / -0.1% | HEAD 414% | TAIL 629% | B/ATR nan
