2009-08-31|NIU|H/Body 0.52 |T/Body 1.38 |CHG_PCT 1.1 |CHG/ATR nan |B/CHG 2.33 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.4 |O 8.0 |H 8.3 |L 7.7 |C 8.2 |V 56 Thousand
2009-09-01|RED|H/Body 9.05 |T/Body 1.51 |CHG_PCT -3.5 |CHG/ATR nan |B/CHG -0.07 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 1.2 |O 7.9 |H 8.1 |L 7.9 |C 7.9 |V 65 Thousand
2009-09-02|NIU|H/Body 1.00 |T/Body 0.08 |CHG_PCT 0.4 |CHG/ATR nan |B/CHG 4.01 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.3 |O 7.8 |H 8.1 |L 7.8 |C 7.9 |V 84 Thousand
2009-09-03|NIU|H/Body 2.00 |T/Body 6.74 |CHG_PCT 0.4 |CHG/ATR nan |B/CHG 1.33 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 1.5 |O 7.9 |H 8.0 |L 7.7 |C 8.0 |V 130 Thousand
2009-09-04|NIU|H/Body 4.63 |T/Body 0.50 |CHG_PCT 0.6 |CHG/ATR nan |B/CHG 0.80 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.4 |O 8.0 |H 8.2 |L 8.0 |C 8.0 |V 50 Thousand
2009-09-08|RED|H/Body 0.41 |T/Body 0.82 |CHG_PCT 1.7 |CHG/ATR nan |B/CHG 1.21 |B/ATR nan |V/LONG nan |V/SHORT 2.0 |V/PREV 3.1 |O 8.3 |H 8.4 |L 8.0 |C 8.2 |V 152 Thousand
2009-09-09|RED|H/Body 0.00 |T/Body 1.33 |CHG_PCT -0.1 |CHG/ATR nan |B/CHG -6.00 |B/ATR nan |V/LONG nan |V/SHORT 0.6 |V/PREV 0.4 |O 8.2 |H 8.2 |L 8.1 |C 8.1 |V 56 Thousand
2009-09-10|NIU|H/Body 1.75 |T/Body 2.00 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 0.73 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.8 |O 8.2 |H 8.4 |L 8.0 |C 8.2 |V 44 Thousand
2009-09-11|NIU|H/Body 0.35 |T/Body 0.00 |CHG_PCT 2.4 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.1 |V/PREV 2.2 |O 8.2 |H 8.5 |L 8.2 |C 8.4 |V 95 Thousand
2009-09-14|RED|H/Body 1.14 |T/Body 3.29 |CHG_PCT -1.9 |CHG/ATR nan |B/CHG -0.44 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.8 |O 8.4 |H 8.4 |L 8.1 |C 8.3 |V 74 Thousand
2009-09-15|RED|H/Body 0.00 |T/Body 11.92 |CHG_PCT 0.1 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG nan |V/SHORT 1.2 |V/PREV 1.4 |O 8.3 |H 8.3 |L 8.2 |C 8.3 |V 102 Thousand
2009-09-16|RED|H/Body 0.27 |T/Body 1.45 |CHG_PCT -1.7 |CHG/ATR nan |B/CHG -0.79 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 1.1 |O 8.3 |H 8.3 |L 8.0 |C 8.2 |V 111 Thousand
