2014-12-17|NIU|H/Body 0.33 |T/Body 0.42 |CHG_PCT 3.8 |CHG/ATR nan |B/CHG 1.09 |B/ATR nan |V/LONG nan |V/SHORT 1.0 |V/PREV 1.0 |O 5.7 |H 6.0 |L 5.6 |C 5.9 |V 12 Million
2014-12-18|RED|H/Body 0.15 |T/Body 0.31 |CHG_PCT -2.2 |CHG/ATR nan |B/CHG -3.69 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.8 |O 6.3 |H 6.4 |L 5.7 |C 5.8 |V 9 Million
2014-12-19|NIU|H/Body 0.00 |T/Body 0.14 |CHG_PCT 6.9 |CHG/ATR nan |B/CHG 1.10 |B/ATR nan |V/LONG nan |V/SHORT 1.3 |V/PREV 1.5 |O 5.8 |H 6.2 |L 5.7 |C 6.2 |V 14 Million
2014-12-22|RED|H/Body 0.43 |T/Body 0.07 |CHG_PCT -7.1 |CHG/ATR nan |B/CHG -1.00 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.5 |O 6.2 |H 6.4 |L 5.7 |C 5.8 |V 6 Million
2014-12-23|RED|H/Body 0.79 |T/Body 0.47 |CHG_PCT -1.0 |CHG/ATR nan |B/CHG -3.17 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 0.9 |O 5.9 |H 6.0 |L 5.6 |C 5.7 |V 6 Million
2014-12-24|RED|H/Body 0.33 |T/Body 0.50 |CHG_PCT -3.3 |CHG/ATR nan |B/CHG -0.63 |B/ATR nan |V/LONG nan |V/SHORT 0.2 |V/PREV 0.3 |O 5.6 |H 5.7 |L 5.5 |C 5.5 |V 2 Million
2014-12-26|NIU|H/Body 0.21 |T/Body 0.21 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.87 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 1.1 |O 5.5 |H 5.7 |L 5.5 |C 5.7 |V 2 Million
2014-12-29|NIU|H/Body 1.86 |T/Body 0.71 |CHG_PCT 1.6 |CHG/ATR nan |B/CHG 0.78 |B/ATR nan |V/LONG nan |V/SHORT 0.5 |V/PREV 1.3 |O 5.7 |H 5.9 |L 5.7 |C 5.8 |V 3 Million
2014-12-30|RED|H/Body 0.06 |T/Body 0.06 |CHG_PCT -3.6 |CHG/ATR nan |B/CHG -0.81 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.3 |O 5.7 |H 5.7 |L 5.5 |C 5.6 |V 3 Million
2014-12-31|RED|H/Body 0.86 |T/Body 4.14 |CHG_PCT -0.9 |CHG/ATR nan |B/CHG -1.40 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 0.8 |O 5.6 |H 5.6 |L 5.2 |C 5.5 |V 3 Million
2015-01-02|RED|H/Body 5.00 |T/Body 1.80 |CHG_PCT -1.3 |CHG/ATR nan |B/CHG -0.71 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV 1.4 |O 5.5 |H 5.7 |L 5.3 |C 5.4 |V 4 Million
2015-01-05|RED|H/Body 0.19 |T/Body 0.61 |CHG_PCT -8.1 |CHG/ATR nan |B/CHG -0.70 |B/ATR nan |V/LONG nan |V/SHORT 2.1 |V/PREV 1.6 |O 5.3 |H 5.4 |L 4.8 |C 5.0 |V 6 Million
2015-01-06|RED|H/Body 0.44 |T/Body 0.00 |CHG_PCT -4.8 |CHG/ATR nan |B/CHG -0.67 |B/ATR nan |V/LONG nan |V/SHORT 2.0 |V/PREV 1.3 |O 4.9 |H 5.0 |L 4.8 |C 4.8 |V 8 Million
2015-01-07|RED|H/Body 12.00 |T/Body 10.00 |CHG_PCT -2.7 |CHG/ATR nan |B/CHG -0.08 |B/ATR nan |V/LONG nan |V/SHORT 1.9 |V/PREV 1.2 |O 4.6 |H 4.8 |L 4.5 |C 4.6 |V 9 Million
2015-01-08|NIU|H/Body 0.38 |T/Body 0.67 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 1.11 |B/ATR nan |V/LONG nan |V/SHORT 2.2 |V/PREV 1.4 |O 4.6 |H 4.9 |L 4.5 |C 4.8 |V 13 Million
2015-01-09|NIU|H/Body 0.82 |T/Body 2.09 |CHG_PCT 2.9 |CHG/ATR nan |B/CHG 0.79 |B/ATR nan |V/LONG nan |V/SHORT 0.8 |V/PREV 0.5 |O 4.8 |H 5.0 |L 4.6 |C 5.0 |V 6 Million
2015-01-12|RED|H/Body 0.02 |T/Body 0.16 |CHG_PCT -9.7 |CHG/ATR nan |B/CHG -0.94 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.9 |O 4.9 |H 4.9 |L 4.4 |C 4.5 |V 5 Million
2015-01-13|RED|H/Body 0.04 |T/Body 0.04 |CHG_PCT -11.6 |CHG/ATR nan |B/CHG -1.10 |B/ATR nan |V/LONG nan |V/SHORT 1.4 |V/PREV 2.1 |O 4.5 |H 4.5 |L 3.9 |C 4.0 |V 12 Million
2015-01-14|NIU|H/Body 0.83 |T/Body 2.00 |CHG_PCT 3.8 |CHG/ATR nan |B/CHG 0.80 |B/ATR nan |V/LONG nan |V/SHORT 1.6 |V/PREV 1.2 |O 4.0 |H 4.2 |L 3.8 |C 4.1 |V 14 Million
2015-01-15|RED|H/Body 0.57 |T/Body 3.00 |CHG_PCT 1.2 |CHG/ATR nan |B/CHG 1.40 |B/ATR nan |V/LONG nan |V/SHORT 0.7 |V/PREV 0.5 |O 4.2 |H 4.3 |L 4.0 |C 4.2 |V 7 Million
2015-01-16|NIU|H/Body 0.36 |T/Body 0.72 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 1.06 |B/ATR nan |V/LONG nan |V/SHORT 0.9 |V/PREV 1.2 |O 4.2 |H 4.4 |L 4.0 |C 4.3 |V 8 Million
2015-01-20|RED|H/Body 2.62 |T/Body 0.25 |CHG_PCT -5.1 |CHG/ATR nan |B/CHG -0.36 |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.4 |O 4.2 |H 4.4 |L 4.1 |C 4.1 |V 3 Million
2015-01-21|RED|H/Body 0.67 |T/Body 0.33 |CHG_PCT -0.2 |CHG/ATR nan |B/CHG -9.00 |B/ATR nan |V/LONG nan |V/SHORT 0.4 |V/PREV 1.3 |O 4.2 |H 4.2 |L 4.1 |C 4.1 |V 4 Million
