2002-10-02|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.3 |V/PREV 0.1 |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 100
2002-10-03|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-04|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-07|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-08|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-10|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT nan |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-11|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT -30.8 |CHG/ATR nan |B/CHG -0.25 |B/ATR nan |V/LONG nan |V/SHORT inf |V/PREV inf |O 5.0 |H 5.0 |L 4.5 |C 4.5 |V 1 Thousand
2002-10-14|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 4.5 |H 4.5 |L 4.5 |C 4.5 |V 0
2002-10-15|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 4.5 |H 4.5 |L 4.5 |C 4.5 |V 0
2002-10-16|NIU|H/Body 0.00 |T/Body 0.32 |CHG_PCT 44.4 |CHG/ATR nan |B/CHG 2.38 |B/ATR nan |V/LONG nan |V/SHORT 1.5 |V/PREV inf |O 1.8 |H 6.5 |L 0.2 |C 6.5 |V 300
2002-10-17|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV 0.0 |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
2002-10-18|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG nan |V/SHORT 0.0 |V/PREV nan |O 6.5 |H 6.5 |L 6.5 |C 6.5 |V 0
