2000-04-06 | Bear | 16.63 / -2.2% | HEAD 0% | TAIL 19% | B/ATR nan
2000-04-07 | Bear | 16.38 / -1.1% | HEAD 106% | TAIL 39% | B/ATR nan
2000-04-10 | Bear | 16.5 / -0.8% | HEAD 92% | TAIL 238% | B/ATR nan
2000-04-11 | Bear | 16.5 / -0.8% | HEAD 138% | TAIL 46% | B/ATR nan
2000-04-12 | Bear | 16.25 / -0.4% | HEAD 950% | TAIL 0% | B/ATR nan
2000-04-13 | Bear | 16.13 / -0.7% | HEAD 108% | TAIL 208% | B/ATR nan
2000-04-14 | Bull | 17.25 / 3.7% | HEAD 21% | TAIL 31% | B/ATR nan
2000-04-17 | Bear | 16.88 / -0.4% | HEAD 317% | TAIL 417% | B/ATR nan
2000-04-18 | Bear | 16.75 / -0.4% | HEAD 117% | TAIL 417% | B/ATR nan
2000-04-19 | Bull | 17.13 / 2.6% | HEAD 14% | TAIL 14% | B/ATR nan
2000-04-20 | Bull | 17.06 / 0.0% | HEAD 7500% | TAIL 600% | B/ATR nan
2000-04-24 | Bear | 17.13 / -1.4% | HEAD 72% | TAIL 0% | B/ATR nan
2000-04-25 | Bear | 16.69 / -2.2% | HEAD 35% | TAIL 16% | B/ATR nan
2000-04-26 | Bull | 16.44 / 0.0% | HEAD 4400% | TAIL 1300% | B/ATR nan
2000-04-27 | Bull | 17.0 / 1.1% | HEAD 68% | TAIL 32% | B/ATR nan
2000-04-28 | Bull | 16.81 / 1.1% | HEAD 72% | TAIL 39% | B/ATR nan
2000-05-01 | Bull | 17.0 / 2.2% | HEAD 16% | TAIL 0% | B/ATR nan
2000-05-02 | Bull | 18.63 / 8.4% | HEAD 0% | TAIL 4% | B/ATR nan
2000-05-03 | Bull | 18.56 / 1.7% | HEAD 42% | TAIL 142% | B/ATR nan
2000-05-04 | Bear | 18.5 / -1.0% | HEAD 232% | TAIL 132% | B/ATR nan
2000-05-05 | Bear | 17.94 / -3.7% | HEAD 9% | TAIL 19% | B/ATR nan
2000-05-08 | Bull | 18.0 / 0.7% | HEAD 0% | TAIL 208% | B/ATR nan
2000-05-09 | Bull | 18.38 / 2.5% | HEAD 57% | TAIL 30% | B/ATR nan
2000-05-10 | Bear | 18.56 / -0.7% | HEAD 146% | TAIL 192% | B/ATR nan
2000-05-11 | Bear | 18.25 / -0.3% | HEAD 317% | TAIL 517% | B/ATR nan
2000-05-12 | Bear | 18.19 / -0.7% | HEAD 267% | TAIL 50% | B/ATR nan
2000-05-15 | Bull | 18.5 / 2.0% | HEAD 68% | TAIL 0% | B/ATR nan
2000-05-16 | Bull | 18.44 / 0.0% | HEAD 5000% | TAIL 1900% | B/ATR nan
2000-05-17 | Bear | 17.63 / -3.7% | HEAD 0% | TAIL 10% | B/ATR nan
2000-05-18 | Bear | 17.5 / -0.3% | HEAD 633% | TAIL 167% | B/ATR nan
2000-05-19 | Bear | 17.5 / -0.7% | HEAD 285% | TAIL 0% | B/ATR nan
2000-05-22 | Bull | 17.69 / 0.3% | HEAD 1150% | TAIL 217% | B/ATR nan
2000-05-23 | Bull | 18.0 / 2.5% | HEAD 57% | TAIL 41% | B/ATR nan
2000-05-24 | Bull | 18.44 / 2.8% | HEAD 74% | TAIL 0% | B/ATR nan
2000-05-25 | Bear | 18.06 / -1.4% | HEAD 152% | TAIL 0% | B/ATR nan
2000-05-26 | Bull | 18.19 / 1.4% | HEAD 224% | TAIL 0% | B/ATR nan
2000-05-30 | Bull | 18.5 / 0.0% | HEAD 2500% | TAIL 1900% | B/ATR nan
2000-05-31 | Bear | 18.13 / -2.0% | HEAD 35% | TAIL 35% | B/ATR nan
2000-06-01 | Bull | 18.19 / 0.0% | HEAD 1200% | TAIL 1300% | B/ATR nan
2000-06-02 | Bull | 18.69 / 1.0% | HEAD 163% | TAIL 0% | B/ATR nan
2000-06-05 | Bull | 19.44 / 2.6% | HEAD 12% | TAIL 62% | B/ATR nan
2000-06-06 | Bear | 19.63 / -0.3% | HEAD 417% | TAIL 417% | B/ATR nan
2000-06-07 | Bull | 19.0 / 0.0% | HEAD 2500% | TAIL 1900% | B/ATR nan
2000-06-08 | Bull | 19.0 / 0.6% | HEAD 208% | TAIL 108% | B/ATR nan
2000-06-09 | Bear | 18.88 / -1.6% | HEAD 39% | TAIL 23% | B/ATR nan
2000-06-12 | Bull | 19.31 / 2.7% | HEAD 38% | TAIL 0% | B/ATR nan
2000-06-13 | Bear | 19.13 / -3.8% | HEAD 16% | TAIL 0% | B/ATR nan
2000-06-14 | Bull | 19.38 / 1.0% | HEAD 132% | TAIL 68% | B/ATR nan
2000-06-15 | Bear | 18.88 / -0.6% | HEAD 108% | TAIL 158% | B/ATR nan
2000-06-16 | Bear | 18.81 / -0.7% | HEAD 192% | TAIL 0% | B/ATR nan
2000-06-19 | Bear | 18.25 / -2.4% | HEAD 0% | TAIL 0% | B/ATR nan
