2012-12-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-13 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.4
2012-12-17 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.5
2012-12-20 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-21 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-24 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.6
2012-12-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-27 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.7
2012-12-31 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-01-02 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.8
2013-01-03 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-07 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 3.9
2013-01-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-01-09 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.0
2013-01-10 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-01-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.1
2013-01-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-01-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-01-16 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-01-17 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-01-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-01-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-01-23 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-01-24 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-01-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-01-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-01-29 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-01-30 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-01-31 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-02-01 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-02-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-02-05 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.0
2013-02-06 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-02-07 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-02-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.2
2013-02-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-02-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-02-13 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-02-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.5
2013-02-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-02-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-02-20 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.7
2013-02-21 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.8
2013-02-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.9
2013-02-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
2013-02-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
2013-02-27 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.1
2013-02-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.2
2013-03-01 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-03-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.4
2013-03-05 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.5
2013-03-06 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.6
2013-03-07 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.7
2013-03-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.8
2013-03-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.9
2013-03-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.0
2013-03-13 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.1
2013-03-14 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.2
2013-03-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.3
2013-03-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.4
2013-03-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.5
2013-03-20 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.6
2013-03-21 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.7
2013-03-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.8
2013-03-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.9
2013-03-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.0
2013-03-27 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.2
2013-03-28 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.3
2013-04-01 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.4
2013-04-02 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.5
2013-04-03 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.7
2013-04-04 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.8
2013-04-05 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.9
2013-04-08 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.1
2013-04-09 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.2
2013-04-10 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.3
2013-04-11 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.5
2013-04-12 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.6
2013-04-15 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.8
2013-04-16 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.9
2013-04-17 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.1
2013-04-18 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.2
2013-04-19 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.4
2013-04-22 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.6
2013-04-23 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.7
2013-04-24 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.9
2013-04-25 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.1
2013-04-26 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.2
2013-04-29 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.4
2013-04-30 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.6
2013-05-01 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.8
2013-05-02 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.9
2013-05-03 | Bull | 0.17 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.1
2013-05-06 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.2
2013-05-07 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.2
2013-05-08 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.2
2013-05-09 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.3
2013-05-10 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.3
2013-05-13 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.4
2013-05-14 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.4
2013-05-15 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.5
2013-05-16 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.6
2013-05-17 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.6
2013-05-20 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.7
2013-05-21 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.8
2013-05-22 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.9
2013-05-23 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.0
2013-05-24 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.0
2013-05-28 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.1
2013-05-29 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.2
2013-05-30 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.3
2013-05-31 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.4
2013-06-03 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.6
2013-06-04 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 13.7
2013-06-05 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 12.6
2013-06-06 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.8
2013-06-07 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 11.1
2013-06-10 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.5
2013-06-11 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 10.0
2013-06-12 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.6
2013-06-13 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 9.2
2013-06-14 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.9
2013-06-17 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.7
2013-06-18 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.4
2013-06-19 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.2
2013-06-20 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 8.0
2013-06-21 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.8
2013-06-24 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.7
2013-06-25 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.5
2013-06-26 | Bull | 0.27 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.4
2013-06-27 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 7.0
2013-06-28 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.6
2013-07-01 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.3
2013-07-02 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 6.0
2013-07-03 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.8
2013-07-05 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.6
2013-07-08 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.4
2013-07-09 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.3
2013-07-10 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.1
2013-07-11 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 5.0
2013-07-12 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-07-15 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-07-16 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-07-17 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-07-18 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-07-19 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-07-22 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-07-23 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-07-24 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-07-25 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-07-26 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-07-29 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-07-30 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-07-31 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-01 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-02 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-05 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-06 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-07 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-08 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-09 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-12 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-13 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-14 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-15 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-16 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-19 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-20 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.2
2013-08-21 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-08-22 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-08-23 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-08-26 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-08-27 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.3
2013-08-28 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-08-29 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-08-30 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.4
2013-09-03 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-09-04 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-09-05 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-09-06 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.5
2013-09-09 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-09-10 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.6
2013-09-11 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-09-12 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-09-13 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.7
2013-09-16 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-09-17 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.8
2013-09-18 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-09-19 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
2013-09-20 | Bull | 0.15 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 4.9
